# logT  f_HII  f_OIII
6.296835239812258678e+00 9.999998835688834742e-01 7.064171964488757975e-13
6.307614763610914110e+00 9.999998868585651124e-01 5.705304267381178427e-13
6.318394287409571319e+00 9.999998900438595850e-01 4.598942961915497220e-13
6.329173811208228528e+00 9.999998931334763697e-01 3.692381168222326354e-13
6.339953335006883961e+00 9.999998961303119271e-01 2.954649569906461999e-13
6.350732858805541170e+00 9.999998990312992664e-01 2.358911955548356981e-13
6.361512382604197491e+00 9.999999018462442102e-01 1.875995228891494117e-13
6.372291906402853812e+00 9.999999045779415230e-01 1.486850049742861939e-13
6.383071430201511021e+00 9.999999072244946108e-01 1.173792559738363321e-13
6.393850954000167341e+00 9.999999097920413416e-01 9.243482078269371085e-14
6.404630477798823662e+00 9.999999122845575350e-01 7.254240377089969318e-14
6.415410001597480871e+00 9.999999147017816226e-01 5.674532121586058595e-14
6.426189525396137192e+00 9.999999170461337794e-01 4.425566918243454396e-14
6.436969049194793513e+00 9.999999193227540051e-01 3.441522800231904368e-14
6.447748572993450722e+00 9.999999215327378677e-01 2.665926505530471558e-14
6.458528096792107043e+00 9.999999236754182341e-01 2.064789695675344518e-14
6.469307620590763364e+00 9.999999257568624733e-01 1.598354451319454840e-14
6.480087144389420573e+00 9.999999277789616281e-01 1.235633720915473598e-14
6.490866668188076893e+00 9.999999297394706055e-01 9.450088862707036051e-15
6.501646191986733214e+00 9.999999316442116370e-01 7.252693080657948017e-15
6.512425715785390423e+00 9.999999334951960028e-01 5.561144542671510832e-15
6.523205239584046744e+00 9.999999352914491491e-01 4.300143715366488821e-15
6.533984763382703065e+00 9.999999370359875517e-01 3.230321439689177105e-15
6.544764287181360274e+00 9.999999387317651811e-01 2.559119009496325170e-15
6.555543810980016595e+00 9.999999403788739638e-01 1.887939599325597034e-15
6.566323334778672915e+00 9.999999419779754817e-01 1.479520139676441209e-15
6.577102858577330124e+00 9.999999435327902031e-01 1.124823144709375191e-15
6.587882382375985557e+00 9.999999450443021187e-01 0.000000000000000000e+00
6.598661906174642766e+00 9.999999465112031638e-01 0.000000000000000000e+00
6.609441429973299975e+00 9.999999479378310907e-01 0.000000000000000000e+00
6.620220953771955408e+00 9.999999493253576288e-01 0.000000000000000000e+00
6.631000477570612617e+00 9.999999506724981391e-01 0.000000000000000000e+00
6.641780001369268938e+00 9.999999519824184224e-01 0.000000000000000000e+00
6.652559525167925258e+00 9.999999532567254157e-01 0.000000000000000000e+00
6.663339048966582467e+00 9.999999544949736974e-01 0.000000000000000000e+00
6.674118572765238788e+00 9.999999556985168514e-01 0.000000000000000000e+00
6.684898096563895109e+00 9.999999568695880914e-01 0.000000000000000000e+00
6.695677620362552318e+00 9.999999580084504291e-01 0.000000000000000000e+00
6.706457144161208639e+00 9.999999591149282274e-01 0.000000000000000000e+00
6.717236667959864960e+00 9.999999601917672898e-01 0.000000000000000000e+00
6.728016191758522169e+00 9.999999612398270399e-01 0.000000000000000000e+00
6.738795715557178490e+00 9.999999622576457581e-01 0.000000000000000000e+00
6.749575239355834810e+00 9.999999632483844714e-01 0.000000000000000000e+00
6.760354763154492019e+00 9.999999642127926913e-01 0.000000000000000000e+00
6.771134286953148340e+00 9.999999651501605413e-01 0.000000000000000000e+00
6.781913810751804661e+00 9.999999660621547992e-01 0.000000000000000000e+00
6.792693334550461870e+00 9.999999669500618804e-01 0.000000000000000000e+00
6.803472858349118191e+00 9.999999678137354575e-01 0.000000000000000000e+00
6.814252382147774512e+00 9.999999686536473753e-01 0.000000000000000000e+00
6.825031905946431721e+00 9.999999694715053788e-01 0.000000000000000000e+00
6.835811429745088041e+00 9.999999702676410918e-01 0.000000000000000000e+00
6.846590953543744362e+00 9.999999710415133913e-01 0.000000000000000000e+00
6.857370477342401571e+00 9.999999717951766343e-01 0.000000000000000000e+00
6.868150001141057004e+00 9.999999725291721653e-01 0.000000000000000000e+00
6.878929524939714213e+00 9.999999732426864130e-01 0.000000000000000000e+00
6.889709048738371422e+00 9.999999739374738628e-01 0.000000000000000000e+00
6.900488572537026855e+00 9.999999746142205215e-01 0.000000000000000000e+00
6.911268096335684064e+00 9.999999752725604596e-01 0.000000000000000000e+00
6.922047620134341273e+00 9.999999759133105792e-01 0.000000000000000000e+00
6.932827143932996705e+00 9.999999765375002792e-01 0.000000000000000000e+00
6.943606667731653914e+00 9.999999771451465458e-01 0.000000000000000000e+00
6.954386191530310235e+00 9.999999777362655884e-01 0.000000000000000000e+00
6.965165715328966556e+00 9.999999783121730212e-01 0.000000000000000000e+00
6.975945239127623765e+00 9.999999788732113482e-01 0.000000000000000000e+00
6.986724762926280086e+00 9.999999794187168778e-01 0.000000000000000000e+00
6.997504286724936406e+00 9.999999799502405917e-01 0.000000000000000000e+00
7.008283810523593615e+00 9.999999805358597005e-01 0.000000000000000000e+00
7.019063334322249936e+00 9.999999811226720769e-01 0.000000000000000000e+00
7.029842858120906257e+00 9.999999816908944350e-01 0.000000000000000000e+00
7.040622381919563466e+00 9.999999822414529227e-01 0.000000000000000000e+00
7.051401905718219787e+00 9.999999827743059067e-01 0.000000000000000000e+00
7.062181429516876108e+00 9.999999832900510199e-01 0.000000000000000000e+00
7.072960953315533317e+00 9.999999837898803090e-01 0.000000000000000000e+00
7.083740477114189638e+00 9.999999842740625589e-01 0.000000000000000000e+00
7.094520000912845958e+00 9.999999847424910770e-01 0.000000000000000000e+00
7.105299524711503167e+00 9.999999851965655218e-01 0.000000000000000000e+00
7.116079048510159488e+00 9.999999856367421947e-01 0.000000000000000000e+00
7.126858572308815809e+00 9.999999860625357062e-01 0.000000000000000000e+00
7.137638096107473018e+00 9.999999864753065237e-01 0.000000000000000000e+00
7.148417619906129339e+00 9.999999868755288235e-01 0.000000000000000000e+00
7.159197143704785660e+00 9.999999872630063180e-01 0.000000000000000000e+00
7.169976667503442869e+00 9.999999876384597641e-01 0.000000000000000000e+00
7.180756191302098301e+00 9.999999880025739474e-01 0.000000000000000000e+00
7.191535715100755510e+00 9.999999883553919444e-01 0.000000000000000000e+00
7.202315238899412719e+00 9.999999886971024932e-01 0.000000000000000000e+00
7.213094762698068152e+00 9.999999890285584669e-01 0.000000000000000000e+00
7.223874286496725361e+00 9.999999893500003401e-01 0.000000000000000000e+00
